geneID	gene_name	description	chrom	desc	start	stop	strand
5590	PRKCZ	protein kinase C zeta	1	gene	1981909	2116834	+
199990	FAAP20	Fanconi anemia core complex associated protein 20	1	gene	2115899	2144159	-
6497	SKI	SKI proto-oncogene	1	gene	2160134	2241652	+
79906	MORN1	MORN repeat containing 1	1	gene	2252692	2323190	-
11079	RER1	retention in endoplasmic reticulum sorting receptor 1	1	gene	2323214	2336883	+
5192	PEX10	peroxisomal biogenesis factor 10	1	gene	2336241	2344010	-
9651	PLCH2	phospholipase C eta 2	1	gene	2398898	2436969	+
55229	PANK4	pantothenate kinase 4	1	gene	2439970	2458067	-
388585	HES5	hes family bHLH transcription factor 5	1	gene	2460184	2461684	-
115110	LOC115110	uncharacterized LOC115110	1	gene	2481359	2488450	-
8764	TNFRSF14	TNF receptor superfamily member 14	1	gene	2487804	2497061	+
100996583	LOC100996583	uncharacterized LOC100996583	1	gene	2497974	2515973	+
127281	FAM213B	family with sequence similarity 213 member B	1	gene	2517899	2522908	+
79258	MMEL1	membrane metalloendopeptidase like 1	1	gene	2522081	2564481	-
100287898	TTC34	tetratricopeptide repeat domain 34	1	gene	2572807	2706230	-
140625	ACTRT2	actin related protein T2	1	gene	2938046	2939467	+
440556	LINC00982	long intergenic non-protein coding RNA 982	1	gene	2976181	2984289	-
63976	PRDM16	PR/SET domain 16	1	gene	2985742	3355185	+
100422968	MIR4251	microRNA 4251	1	gene	3044539	3044599	+
27237	ARHGEF16	Rho guanine nucleotide exchange factor 16	1	gene	3371147	3397677	+
1953	MEGF6	multiple EGF like domains 6	1	gene	3404506	3528059	-
693135	MIR551A	microRNA 551a	1	gene	3477259	3477354	-
127262	TPRG1L	tumor protein p63 regulated 1 like	1	gene	3541556	3546695	+
49856	WRAP73	WD repeat containing%2C antisense to TP73	1	gene	3547331	3566671	-
7161	TP73	tumor protein p73	1	gene	3569129	3652765	+
57212	TP73-AS1	TP73 antisense RNA 1	1	gene	3652548	3663937	-
148870	CCDC27	coiled-coil domain containing 27	1	gene	3668965	3688209	+
388588	SMIM1	small integral membrane protein 1 (Vel blood group)	1	gene	3689325	3692546	+
57470	LRRC47	leucine rich repeat containing 47	1	gene	3696784	3713068	-
9731	CEP104	centrosomal protein 104	1	gene	3728645	3773797	-
1677	DFFB	DNA fragmentation factor subunit beta	1	gene	3773831	3801993	+
339448	C1orf174	chromosome 1 open reading frame 174	1	gene	3805697	3816857	-
100133612	LINC01134	long intergenic non-protein coding RNA 1134	1	gene	3816968	3832011	+
728716	LINC01346	long intergenic non-protein coding RNA 1346	1	gene	4000672	4012643	+
284661	LINC01777	long intergenic non-protein coding RNA 1777	1	gene	4472111	4484744	+
55966	AJAP1	adherens junctions associated protein 1	1	gene	4715105	4843851	+
100616489	MIR4417	microRNA 4417	1	gene	5624131	5624203	+
100616421	MIR4689	microRNA 4689	1	gene	5922732	5922801	-
261734	NPHP4	nephrocystin 4	1	gene	5922868	6052533	-
8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	1	gene	6052358	6161253	+
26038	CHD5	chromodomain helicase DNA binding protein 5	1	gene	6161847	6240194	-
6146	RPL22	ribosomal protein L22	1	gene	6245080	6259679	-
102724450	LOC102724450	uncharacterized LOC102724450	1	gene	6264900	6265840	-
388591	RNF207	ring finger protein 207	1	gene	6266189	6281359	+
23463	ICMT	isoprenylcysteine carboxyl methyltransferase	1	gene	6281253	6296044	-
148645	LINC00337	long intergenic non-protein coding RNA 337	1	gene	6296300	6299504	+
390992	HES3	hes family bHLH transcription factor 3	1	gene	6304252	6305638	+
387509	GPR153	G protein-coupled receptor 153	1	gene	6307406	6321035	-
11332	ACOT7	acyl-CoA thioesterase 7	1	gene	6324332	6453826	-
54626	HES2	hes family bHLH transcription factor 2	1	gene	6475292	6479979	-
83715	ESPN	espin	1	gene	6484848	6521004	+
100422975	MIR4252	microRNA 4252	1	gene	6489894	6489956	-
8718	TNFRSF25	TNF receptor superfamily member 25	1	gene	6521211	6526255	-
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	1	gene	6526152	6580121	-
79707	NOL9	nucleolar protein 9	1	gene	6581407	6614658	-
80835	TAS1R1	taste 1 receptor member 1	1	gene	6615338	6639817	+
3104	ZBTB48	zinc finger and BTB domain containing 48	1	gene	6640051	6649340	+
9903	KLHL21	kelch like family member 21	1	gene	6650784	6662958	-
148479	PHF13	PHD finger protein 13	1	gene	6673756	6684093	+
90326	THAP3	THAP domain containing 3	1	gene	6684925	6695646	+
55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	1	gene	6694228	6761966	-
100505887	LINC01672	long intergenic non-protein coding RNA 1672	1	gene	6784805	6790072	+
23261	CAMTA1	calmodulin binding transcription activator 1	1	gene	6845384	7829766	+
9341	VAMP3	vesicle associated membrane protein 3	1	gene	7831329	7841492	+
8863	PER3	period circadian clock 3	1	gene	7844489	7905241	+
10911	UTS2	urotensin 2	1	gene	7907672	7913551	-
3604	TNFRSF9	TNF receptor superfamily member 9	1	gene	7975931	8003225	-
11315	PARK7	Parkinsonism associated deglycase	1	gene	8021714	8045342	+
54206	ERRFI1	ERBB receptor feedback inhibitor 1	1	gene	8071779	8086393	-
102724539	LINC01714	long intergenic non-protein coding RNA 1714	1	gene	8268732	8275270	+
50651	SLC45A1	solute carrier family 45 member 1	1	gene	8378145	8404227	+
473	RERE	arginine-glutamic acid dipeptide repeats	1	gene	8412464	8877699	-
102724552	LOC102724552	uncharacterized LOC102724552	1	gene	8484705	8495076	+
106632271	SNORD128	small nucleolar RNA%2C C/D box 128	1	gene	8554860	8554973	-
2023	ENO1	enolase 1	1	gene	8921059	8939151	-
102465436	MIR6728	microRNA 6728	1	gene	8926561	8926649	-
100505975	ENO1-AS1	ENO1 antisense RNA 1	1	gene	8938894	8939944	+
765	CA6	carbonic anhydrase 6	1	gene	9005893	9035151	+
155184	SLC2A7	solute carrier family 2 member 7	1	gene	9063359	9086404	-
6518	SLC2A5	solute carrier family 2 member 5	1	gene	9097005	9132286	-
80045	GPR157	G protein-coupled receptor 157	1	gene	9164476	9189229	-
106614088	MIR34AHG	MIR34A host gene	1	gene	9208070	9242397	-
407040	MIR34A	microRNA 34a	1	gene	9211727	9211836	-
102724571	LINC01759	long intergenic non-protein coding RNA 1759	1	gene	9242263	9252145	+
9563	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	1	gene	9294863	9331396	+
80176	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	1	gene	9352941	9429591	+
100506022	LOC100506022	uncharacterized LOC100506022	1	gene	9485153	9489055	-
84275	SLC25A33	solute carrier family 25 member 33	1	gene	9599528	9642831	+
199953	TMEM201	transmembrane protein 201	1	gene	9648932	9674935	+
5293	PIK3CD	phosphatidylinositol-4%2C5-bisphosphate 3-kinase catalytic subunit delta	1	gene	9711790	9789172	+
644997	PIK3CD-AS1	PIK3CD antisense RNA 1	1	gene	9712668	9714644	-
101929074	PIK3CD-AS2	PIK3CD antisense RNA 2	1	gene	9732484	9747632	-
22883	CLSTN1	calsyntenin 1	1	gene	9789079	9884584	-
56998	CTNNBIP1	catenin beta interacting protein 1	1	gene	9908334	9970316	-
84328	LZIC	leucine zipper and CTNNBIP1 domain containing	1	gene	9982171	10003485	-
64802	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	1	gene	10002981	10045556	+
100847055	MIR5697	microRNA 5697	1	gene	10027439	10027516	+
116362	RBP7	retinol binding protein 7	1	gene	10057255	10076078	+
10277	UBE4B	ubiquitination factor E4B	1	gene	10093041	10241297	+
23095	KIF1B	kinesin family member 1B	1	gene	10270764	10441661	+
100422970	MIR1273D	microRNA 1273d	1	gene	10287776	10287861	+
5226	PGD	phosphogluconate dehydrogenase	1	gene	10459049	10480568	+
100526739	APITD1-CORT	APITD1-CORT readthrough	1	gene	10490159	10512060	+
378708	CENPS	centromere protein S	1	gene	10490159	10502872	+
1325	CORT	cortistatin	1	gene	10509776	10512060	+
1676	DFFA	DNA fragmentation factor subunit alpha	1	gene	10520588	10532613	-
5195	PEX14	peroxisomal biogenesis factor 14	1	gene	10535003	10690815	+
54897	CASZ1	castor zinc finger 1	1	gene	10696661	10856733	-
148345	C1orf127	chromosome 1 open reading frame 127	1	gene	11006530	11042094	-
23435	TARDBP	TAR DNA binding protein	1	gene	11072679	11085549	+
10747	MASP2	mannan binding lectin serine peptidase 2	1	gene	11086580	11107296	-
6723	SRM	spermidine synthase	1	gene	11114649	11120091	-
5394	EXOSC10	exosome component 10	1	gene	11126670	11159967	-
105376736	LOC105376736	uncharacterized LOC105376736	1	gene	11159732	11162162	+
2475	MTOR	mechanistic target of rapamycin	1	gene	11166588	11322608	-
100873935	MTOR-AS1	MTOR antisense RNA 1	1	gene	11203955	11209595	+
10218	ANGPTL7	angiopoietin like 7	1	gene	11249346	11256038	+
29914	UBIAD1	UbiA prenyltransferase domain containing 1	1	gene	11333255	11359629	+
57540	DISP3	dispatched RND transporter family member 3	1	gene	11539295	11597640	+
101929181	LINC01647	long intergenic non-protein coding RNA 1647	1	gene	11669588	11673412	+
26232	FBXO2	F-box protein 2	1	gene	11708418	11714888	-
93611	FBXO44	F-box protein 44	1	gene	11714432	11723384	+
26270	FBXO6	F-box protein 6	1	gene	11724150	11734411	+
10459	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	1	gene	11734537	11751678	-
374946	DRAXIN	dorsal inhibitory axon guidance protein	1	gene	11751781	11780336	+
57085	AGTRAP	angiotensin II receptor associated protein	1	gene	11796142	11810828	+
284498	C1orf167	chromosome 1 open reading frame 167	1	gene	11822250	11849642	+
102724659	LOC102724659	uncharacterized LOC102724659	1	gene	11837134	11839676	-
4524	MTHFR	methylenetetrahydrofolate reductase	1	gene	11845787	11866160	-
1185	CLCN6	chloride voltage-gated channel 6	1	gene	11866153	11903201	+
100379251	NPPA-AS1	NPPA antisense RNA 1	1	gene	11900376	11907673	+
4878	NPPA	natriuretic peptide A	1	gene	11905766	11907840	-
4879	NPPB	natriuretic peptide B	1	gene	11917521	11918992	-
26829	RNU5E-1	RNA%2C U5E small nuclear 1	1	gene	11968211	11968329	+
90231	KIAA2013	KIAA2013	1	gene	11979645	11986485	-
5351	PLOD1	procollagen-lysine%2C2-oxoglutarate 5-dioxygenase 1	1	gene	11994724	12035599	+
9927	MFN2	mitofusin 2	1	gene	12040238	12073572	+
60672	MIIP	migration and invasion inhibitory protein	1	gene	12079299	12092106	+
102466982	MIR6729	microRNA 6729	1	gene	12089215	12089279	+
943	TNFRSF8	TNF receptor superfamily member 8	1	gene	12123434	12204264	+
102465836	MIR7846	microRNA 7846	1	gene	12227000	12227095	+
7133	TNFRSF1B	TNF receptor superfamily member 1B	1	gene	12227060	12269277	+
100616438	MIR4632	microRNA 4632	1	gene	12251770	12251830	+
55187	VPS13D	vacuolar protein sorting 13 homolog D	1	gene	12290096	12572099	+
677885	SNORA59A	small nucleolar RNA%2C H/ACA box 59A	1	gene	12567300	12567451	+
9249	DHRS3	dehydrogenase/reductase 3	1	gene	12627939	12677737	-
102466722	MIR6730	microRNA 6730	1	gene	12638985	12639051	-
343066	AADACL4	arylacetamide deacetylase like 4	1	gene	12704566	12727097	+
126767	AADACL3	arylacetamide deacetylase like 3	1	gene	12776118	12788726	+
93190	C1orf158	chromosome 1 open reading frame 158	1	gene	12806134	12821102	+
390999	PRAMEF12	PRAME family member 12	1	gene	12834991	12838049	+
65121	PRAMEF1	PRAME family member 1	1	gene	12851546	12856777	+
440560	PRAMEF11	PRAME family member 11	1	gene	12884618	12891264	-
343069	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1	1	gene	12907230	12908609	-
65122	PRAMEF2	PRAME family member 2	1	gene	12916941	12921764	+
400735	PRAMEF4	PRAME family member 4	1	gene	12939033	12946025	-
343071	PRAMEF10	PRAME family member 10	1	gene	12952727	12958101	-
441871	PRAMEF7	PRAME family member 7	1	gene	12976467	12980300	+
440561	PRAMEF6	PRAME family member 6	1	gene	12998302	13007406	-
391003	PRAMEF18	PRAME family member 18	1	gene	13035499	13039011	+
440563	HNRNPCL2	heterogeneous nuclear ribonucleoprotein C-like 2	1	gene	13182960	13184326	-
343068	PRAMEF5	PRAME family member 5	1	gene	13359819	13369057	+
645382	PRAMEF33P	PRAME family member 33%2C pseudogene	1	gene	13409135	13414502	+
400736	PRAMEF13	PRAME family member 13	1	gene	13447414	13452656	-
391002	PRAMEF8	PRAME family member 8	1	gene	13607700	13611533	-
653619	PRAMEF15	PRAME family member 15	1	gene	13641973	13648987	+
729528	PRAMEF14	PRAME family member 14	1	gene	13668269	13673511	-
645414	PRAMEF19	PRAME family member 19	1	gene	13694889	13698405	-
391004	PRAMEF17	PRAME family member 17	1	gene	13716092	13719089	+
645425	PRAMEF20	PRAME family member 20	1	gene	13736907	13747803	+
126755	LRRC38	leucine rich repeat containing 38	1	gene	13801445	13840242	-
10630	PDPN	podoplanin	1	gene	13910252	13944452	+
7799	PRDM2	PR/SET domain 2	1	gene	14026735	14151574	+
23254	KAZN	kazrin%2C periplakin interacting protein	1	gene	14925213	15444544	+
200197	TMEM51-AS1	TMEM51 antisense RNA 1	1	gene	15438311	15478960	-
55092	TMEM51	transmembrane protein 51	1	gene	15479028	15546976	+
727684	C1orf195	chromosome 1 open reading frame 195	1	gene	15490692	15498120	-
114827	FHAD1	forkhead associated phosphopeptide binding domain 1	1	gene	15573768	15724622	+
79180	EFHD2	EF-hand domain family member D2	1	gene	15736391	15756839	+
11330	CTRC	chymotrypsin C	1	gene	15764938	15773153	+
63036	CELA2A	chymotrypsin like elastase family member 2A	1	gene	15783223	15798586	+
51032	CELA2B	chymotrypsin like elastase family member 2B	1	gene	15802596	15817895	+
842	CASP9	caspase 9	1	gene	15817896	15851285	-
23341	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	1	gene	15853308	15898228	+
79814	AGMAT	agmatinase	1	gene	15898194	15911605	-
84301	DDI2	DNA damage inducible 1 homolog 2	1	gene	15943953	15987552	+
6248	RSC1A1	regulator of solute carriers 1	1	gene	15986208	15988525	+
23207	PLEKHM2	pleckstrin homology and RUN domain containing M2	1	gene	16010827	16061264	+
284723	SLC25A34	solute carrier family 25 member 34	1	gene	16062809	16067887	+
388595	TMEM82	transmembrane protein 82	1	gene	16068987	16074292	+
54751	FBLIM1	filamin binding LIM protein 1	1	gene	16085255	16113084	+
440567	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	1	gene	16133657	16134194	-
729614	FLJ37453	uncharacterized LOC729614	1	gene	16160710	16174642	-
23013	SPEN	spen family transcriptional repressor	1	gene	16174359	16266950	+
7709	ZBTB17	zinc finger and BTB domain containing 17	1	gene	16268364	16302627	-
149563	C1orf64	chromosome 1 open reading frame 64	1	gene	16330731	16333190	+
27129	HSPB7	heat shock protein family B (small) member 7	1	gene	16340523	16345285	-
1187	CLCNKA	chloride voltage-gated channel Ka	1	gene	16348486	16360545	+
1188	CLCNKB	chloride voltage-gated channel Kb	1	gene	16370231	16383821	+
348487	FAM131C	family with sequence similarity 131 member C	1	gene	16384264	16400127	-
1969	EPHA2	EPH receptor A2	1	gene	16450832	16482604	-
128272	ARHGEF19	Rho guanine nucleotide exchange factor 19	1	gene	16524349	16539166	-
79363	RSG1	REM2 and RAB like small GTPase 1	1	gene	16558182	16563659	-
54455	FBXO42	F-box protein 42	1	gene	16573335	16678986	-
26099	SZRD1	SUZ RNA binding domain containing 1	1	gene	16693525	16724643	+
374955	SPATA21	spermatogenesis associated 21	1	gene	16725138	16763919	-
55707	NECAP2	NECAP endocytosis associated 2	1	gene	16767167	16786585	+
26871	RNU1-1	RNA%2C U1 small nuclear 1	1	gene	16840617	16840780	-
100126512	TRNAN-GUU		1	gene	16847080	16847153	-
100132147	LINC01783	long intergenic non-protein coding RNA 1783	1	gene	16860386	16862147	-
100126517	TRNAE-UUC		1	gene	16861774	16861845	-
100133301	FAM231B	family with sequence similarity 231 member B	1	gene	16865219	16866530	+
7195	TRNAG1		1	gene	16872434	16872504	-
26869	RNU1-3	RNA%2C U1 small nuclear 3	1	gene	16993280	16993443	-
729574	FAM231A	family with sequence similarity 231 member A	1	gene	16999498	17000007	+
100126533	TRNAG-CCC		1	gene	17004766	17004836	-
100189045	TRNAG10		1	gene	17053780	17053850	+
6060	RNU1-4	RNA%2C U1 small nuclear 4	1	gene	17067011	17067174	+
11223	MST1L	macrophage stimulating 1 like	1	gene	17081129	17090975	-
100500876	MIR3675	microRNA 3675	1	gene	17185444	17185516	-
100189298	TRNAG28		1	gene	17188416	17188486	+
7193	TRNAE1		1	gene	17199078	17199149	+
100189183	TRNAN18		1	gene	17201958	17202031	+
105376805	LOC105376805	uncharacterized LOC105376805	1	gene	17215033	17216161	-
791226	TRNAN2		1	gene	17216172	17216245	+
26870	RNU1-2	RNA%2C U1 small nuclear 2	1	gene	17222475	17222638	+
9696	CROCC	ciliary rootlet coiled-coil%2C rootletin	1	gene	17248445	17299474	+
4237	MFAP2	microfibrillar associated protein 2	1	gene	17300997	17308081	-
23400	ATP13A2	ATPase 13A2	1	gene	17312453	17338467	-
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	1	gene	17345217	17380665	-
11240	PADI2	peptidyl arginine deiminase 2	1	gene	17393256	17445948	-
29943	PADI1	peptidyl arginine deiminase 1	1	gene	17531621	17572501	+
51702	PADI3	peptidyl arginine deiminase 3	1	gene	17575593	17610728	+
100616188	MIR3972	microRNA 3972	1	gene	17604384	17604470	+
23569	PADI4	peptidyl arginine deiminase 4	1	gene	17634690	17690495	+
353238	PADI6	peptidyl arginine deiminase 6	1	gene	17698691	17728195	+
55920	RCC2	regulator of chromosome condensation 2	1	gene	17733251	17766250	-
55160	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	1	gene	17866330	18024370	+
81569	ACTL8	actin like 8	1	gene	18081808	18153558	+
101927876	LINC01654	long intergenic non-protein coding RNA 1654	1	gene	18392151	18400906	+
84966	IGSF21	immunoglobin superfamily member 21	1	gene	18434240	18704977	+
127707	KLHDC7A	kelch domain containing 7A	1	gene	18807424	18812493	+
5081	PAX7	paired box 7	1	gene	18957500	19075360	+
80834	TAS1R2	taste 1 receptor member 2	1	gene	19166093	19186155	-
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	1	gene	19197924	19229293	-
100616120	MIR4695	microRNA 4695	1	gene	19209696	19209769	-
100302276	MIR1290	microRNA 1290	1	gene	19223565	19223642	-
126917	IFFO2	intermediate filament family orphan 2	1	gene	19230774	19282826	-
23352	UBR4	ubiquitin protein ligase E3 component n-recognin 4	1	gene	19401000	19536746	-
101927895	LOC101927895	uncharacterized LOC101927895	1	gene	19536880	19567198	+
23065	EMC1	ER membrane protein complex subunit 1	1	gene	19542158	19578053	-
51154	MRTO4	MRT4 homolog%2C ribosome maturation factor	1	gene	19578075	19586622	+
22977	AKR7A3	aldo-keto reductase family 7 member A3	1	gene	19609057	19615280	-
100506730	LOC100506730	uncharacterized LOC100506730	1	gene	19619741	19622230	-
8574	AKR7A2	aldo-keto reductase family 7 member A2	1	gene	19629202	19638640	-
54896	PQLC2	PQ loop repeat containing 2	1	gene	19638740	19658922	+
832	CAPZB	capping actin protein of muscle Z-line beta subunit	1	gene	19665267	19812135	-
105378614	LOC105378614	uncharacterized LOC105378614	1	gene	19918296	19923326	-
100532736	MINOS1-NBL1	MINOS1-NBL1 readthrough	1	gene	19923471	19984949	+
440574	MINOS1	mitochondrial inner membrane organizing system 1	1	gene	19923471	19956315	+
4681	NBL1	neuroblastoma 1%2C DAN family BMP antagonist	1	gene	19969723	19984949	+
3362	HTR6	5-hydroxytryptamine receptor 6	1	gene	19991780	20007459	+
255104	TMCO4	transmembrane and coiled-coil domains 4	1	gene	20008706	20126410	-
54546	RNF186	ring finger protein 186	1	gene	20140522	20141771	-
23252	OTUD3	OTU deubiquitinase 3	1	gene	20208888	20239438	+
30814	PLA2G2E	phospholipase A2 group IIE	1	gene	20246800	20250110	-
5320	PLA2G2A	phospholipase A2 group IIA	1	gene	20301924	20306932	-
5322	PLA2G5	phospholipase A2 group V	1	gene	20396701	20418394	+
26279	PLA2G2D	phospholipase A2 group IID	1	gene	20439143	20446059	-
64600	PLA2G2F	phospholipase A2 group IIF	1	gene	20465823	20476879	+
391013	PLA2G2C	phospholipase A2 group IIC	1	gene	20489585	20503857	-
101928017	UBXN10-AS1	UBXN10 antisense RNA 1	1	gene	20510735	20512979	-
127733	UBXN10	UBX domain protein 10	1	gene	20512571	20522541	+
127731	VWA5B1	von Willebrand factor A domain containing 5B1	1	gene	20617412	20681387	+
339505	LINC01141	long intergenic non-protein coding RNA 1141	1	gene	20686294	20755287	-
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	1	gene	20808884	20812728	-
79594	MUL1	mitochondrial E3 ubiquitin protein ligase 1	1	gene	20825941	20834674	-
163933	FAM43B	family with sequence similarity 43 member B	1	gene	20878932	20881513	+
978	CDA	cytidine deaminase	1	gene	20915444	20945401	+
65018	PINK1	PTEN induced putative kinase 1	1	gene	20959948	20978004	+
102464833	MIR6084	microRNA 6084	1	gene	20960172	20960281	+
100861548	PINK1-AS	PINK1 antisense RNA	1	gene	20969150	20978686	-
1650	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	1	gene	20978260	20988037	-
57576	KIF17	kinesin family member 17	1	gene	20990507	21044510	-
400745	SH2D5	SH2 domain containing 5	1	gene	21046225	21059133	-
50809	HP1BP3	heterochromatin protein 1 binding protein 3	1	gene	21069171	21113181	-
8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	1	gene	21132785	21503381	-
100302155	MIR1256	microRNA 1256	1	gene	21314807	21314925	-
1889	ECE1	endothelin converting enzyme 1	1	gene	21543740	21672034	-
100506801	LOC100506801	uncharacterized LOC100506801	1	gene	21619783	21626362	+
84224	NBPF3	neuroblastoma breakpoint family member 3	1	gene	21766583	21811393	+
